well_id,well_name_cn,cbl_top_md_m,cbl_bottom_md_m,cbl_pass_rate,cbl_quality_class,interpretation_summary,include_in_validation,data_type,source_file,source_location,confidence,notes
hu101,呼101,6495.0,6803.0,,良好至中等（推断）,自动化分析显示此段以绿色/蓝色交替为主，推断为中等至良好。自动RED检测显示仅微量短差段（<2m片段）。此段接近168.3mm套管底部（6796.13m），套管尺寸变化前。,1,auto_analysis,1/1003/10031/100312.PDF,"6495-6803m, 自动化分析推断",medium,自动化像素分析推断。168.3mm套管段末端。
hu101,呼101,6803.0,6925.0,,差至中等（推断，重要变径段）,自动化分析显示此段大面积红色/绿色混合信号。位于168.3mm-139.7mm套管变径处（6796.13m），套管尺寸突变导致水泥浆环空返速突变（168.3mm段0.5-0.3m/s，139.7mm段0.8-0.44m/s）。变径处顶替效率急剧下降，典型胶结质量差段。,1,auto_analysis,1/1003/10031/100312.PDF,"6803-6925m, 自动化分析推断，套管变径段",low,自动化像素分析。168.3mm/139.7mm复合管串变径处。环空返速突变导致顶替效率下降。
hu101,呼101,6925.0,7095.0,,中等至良好（推断，含短差段）,自动化分析显示绿蓝交替，推断为中等至良好。自动RED检测：6999.6-7000.6m、7007.9-7008.8m、7027.4-7029.8m、7038.3-7040.2m、7063.8-7066.3m、7068.7-7070.0m等为局部短差段（各<5m）。,1,auto_analysis,1/1003/10031/100312.PDF,"6925-7095m, 自动化分析推断",low,自动化像素分析。139.7mm套管段，环空间隙76.2mm。
hu101,呼101,7095.0,7441.0,,中等（推断，大面积中等段）,自动化分析显示大面积绿色（中等）为主。推断此段固井质量整体中等偏下。短套管7432.910-7434.260m在段底部附近。目的井段6153-7741m中段。,1,auto_analysis,1/1003/10031/100312.PDF,"7095-7441m, 自动化分析推断",low,自动化像素分析。短套管7432.91-7434.26m附近需关注胶结质量。
hu101,呼101,7441.0,7475.0,,交替变化（推断）,自动化分析：7441-7444.5m红差、7444.5-7459.0m蓝好（二界面红差）、7459.0-7460.5m红差、7460.5-7475.1m蓝好。短套管7432.91-7434.26m以下约8m，质量开始交替变化。,1,auto_analysis,1/1003/10031/100312.PDF,"7441-7475m, 自动化分析推断",low,自动化像素分析。二界面在7444.5-7459.0m出现红色。
hu101,呼101,7475.0,7537.0,,差（推断，气层关键段）,"自动化分析：7475.1-7495.6m红差(20.5m)、7495.6-7498.1m蓝好(2.5m)、7498.1-7511.2m红差(13.1m)、7511.2-7514.6m蓝好(3.4m)、7514.6-7517.6m红差(3m)、7517.6-7520.6m蓝好(3m)、7520.6-7523.0m红差(2.4m)、7523.0-7526.0m蓝好(3m)、7526.0-7530.9m红差(4.9m)、7530.9-7536.7m蓝好(5.8m)。此段为主要气层K1q(7492-7536m,44m)，录井解释气层。图头标注目的井段不合格。气层处固井质量差可能导致层间窜流。",1,auto_analysis,1/1003/10031/100312.PDF,"7475-7537m, 气层关键段，自动化分析",low,自动化像素分析。气层段(7492-7536m)固井质量对气层封隔至关重要。需人工复核。
hu101,呼101,7537.0,7577.0,,差（推断，目的层顶部大面积差段）,自动化分析全段大面积红色：7536.7-7544.8m红(8.1m)、7544.8-7546.3m蓝(1.5m)、7546.3-7554.4m红(8.1m)、7554.4-7555.7m蓝(1.3m)、7555.7-7577.3m红(21.6m)。7537m为K1q/J3k喀拉扎组界面。大面积连续差段可能与裸眼井径不规则或套管偏心有关。,1,auto_analysis,1/1003/10031/100312.PDF,"7537-7577m, 自动化分析推断",low,自动化像素分析。7537m=K1q/J3k界面，喀拉扎组目的层顶部。
hu101,呼101,7577.0,7637.0,,差为主（推断，含漏层）,自动化分析：7577.3-7579.3m蓝(2m)、7579.3-7592.1m红(12.8m)、7592.1-7596.8m蓝(4.7m)、7596.8-7603.6m红(6.8m)、7603.6-7610.5m蓝(6.9m)、7610.5-7620.1m红(9.6m)、7620.1-7623.8m蓝(3.8m)、7623.8-7634.3m红(10.5m)、7634.3-7637.0m蓝(2.6m)。含漏层7598-7615m（当量2.04-2.054g/cm3，漏速13.3m3/h），漏失导致水泥浆流失。短套管7638.050-7639.400m在段底。,1,auto_analysis,1/1003/10031/100312.PDF,"7577-7637m, 含漏层段，自动化分析",low,自动化像素分析。漏层7598-7615m漏速13.3m3/h严重影响水泥环完整性。
hu101,呼101,7637.0,7674.0,,差（推断，深部大面积差段）,自动化分析：7637.0-7671.1m连续红(34.2m)、7671.1-7672.6m蓝(1.5m)、7672.6-7674.1m红(1.5m)。139.7mm套管深部段。环空间隙76.2mm(215.9-139.7mm)。大面积连续差的可能原因：座底固井管鞋水泥污染、深部井眼清洁差、套管偏心导致水泥窜槽。,1,auto_analysis,1/1003/10031/100312.PDF,"7637-7674m, 自动化分析推断",low,自动化像素分析。连续差段34.2m为全井最长连续差段之一。
hu101,呼101,7674.0,7717.0,,良好至中等（推断，含短差段）,自动化分析：7674.1-7689.0m蓝(14.8m)、7689.0-7691.8m红(2.8m)、7691.8-7694.6m蓝(2.8m)、7694.6-7697.4m红(2.8m)、7697.4-7701.4m蓝(3.9m)、7701.4-7702.9m红(1.5m)、7702.9-7717.0m蓝(14.1m)。差气层7718-7719m和7733-7735m在段底附近。设计下塞面7718m（实探7813.6m，下塞仅54.4m vs 设计150m）。,1,auto_analysis,1/1003/10031/100312.PDF,"7674-7717m, 自动化分析推断",low,自动化像素分析。差气层附近，下塞不足影响管鞋固井质量。
hu101,呼101,7717.0,7810.0,,良好至中等（推断，管鞋段）,自动化分析显示此段以蓝色良好为主：7717-7757m蓝色为主（含7757.3-7758.8m短红和7758.8-7761.1m短绿）、7761-7810m蓝色良好。人工井底7809.4m。测井截止于7810m，尾管鞋7868m未测（悬空58m）。管鞋段因座底固井+下塞不足（实探54.4m vs 设计150m），实际胶结质量可能差于测井显示。,1,auto_analysis,1/1003/10031/100312.PDF,"7717-7810m, 自动化分析推断",low,自动化像素分析。管鞋7868m未测（测井至7810m），悬空58m无CBL数据。
